Ticker,Ex_Dividend_Date,Amount
AAPL,2015-02-05 00:00:00-05:00,0.1175
AAPL,2015-05-07 00:00:00-04:00,0.13
AAPL,2015-08-06 00:00:00-04:00,0.13
AAPL,2015-11-05 00:00:00-05:00,0.13
AAPL,2016-02-04 00:00:00-05:00,0.13
AAPL,2016-05-05 00:00:00-04:00,0.1425
AAPL,2016-08-04 00:00:00-04:00,0.1425
AAPL,2016-11-03 00:00:00-04:00,0.1425
AAPL,2017-02-09 00:00:00-05:00,0.1425
AAPL,2017-05-11 00:00:00-04:00,0.1575
AAPL,2017-08-10 00:00:00-04:00,0.1575
AAPL,2017-11-10 00:00:00-05:00,0.1575
AAPL,2018-02-09 00:00:00-05:00,0.1575
AAPL,2018-05-11 00:00:00-04:00,0.1825
AAPL,2018-08-10 00:00:00-04:00,0.1825
AAPL,2018-11-08 00:00:00-05:00,0.1825
AAPL,2019-02-08 00:00:00-05:00,0.1825
AAPL,2019-05-10 00:00:00-04:00,0.1925
AAPL,2019-08-09 00:00:00-04:00,0.1925
AAPL,2019-11-07 00:00:00-05:00,0.1925
AAPL,2020-02-07 00:00:00-05:00,0.1925
AAPL,2020-05-08 00:00:00-04:00,0.205
AAPL,2020-08-07 00:00:00-04:00,0.205
AAPL,2020-11-06 00:00:00-05:00,0.205
AAPL,2021-02-05 00:00:00-05:00,0.205
AAPL,2021-05-07 00:00:00-04:00,0.22
AAPL,2021-08-06 00:00:00-04:00,0.22
AAPL,2021-11-05 00:00:00-04:00,0.22
AAPL,2022-02-04 00:00:00-05:00,0.22
AAPL,2022-05-06 00:00:00-04:00,0.23
AAPL,2022-08-05 00:00:00-04:00,0.23
AAPL,2022-11-04 00:00:00-04:00,0.23
AAPL,2023-02-10 00:00:00-05:00,0.23
AAPL,2023-05-12 00:00:00-04:00,0.24
AAPL,2023-08-11 00:00:00-04:00,0.24
AAPL,2023-11-10 00:00:00-05:00,0.24
AAPL,2024-02-09 00:00:00-05:00,0.24
AAPL,2024-05-10 00:00:00-04:00,0.25
AAPL,2024-08-12 00:00:00-04:00,0.25
AAPL,2024-11-08 00:00:00-05:00,0.25
AAPL,2025-02-10 00:00:00-05:00,0.25
AAPL,2025-05-12 00:00:00-04:00,0.26
AAPL,2025-08-11 00:00:00-04:00,0.26
AAPL,2025-11-10 00:00:00-05:00,0.26
AXP,2015-01-07 00:00:00-05:00,0.26
AXP,2015-03-31 00:00:00-04:00,0.26
AXP,2015-06-30 00:00:00-04:00,0.29
AXP,2015-10-07 00:00:00-04:00,0.29
AXP,2016-01-06 00:00:00-05:00,0.29
AXP,2016-04-06 00:00:00-04:00,0.29
AXP,2016-06-29 00:00:00-04:00,0.29
AXP,2016-10-05 00:00:00-04:00,0.32
AXP,2017-01-04 00:00:00-05:00,0.32
AXP,2017-04-05 00:00:00-04:00,0.32
AXP,2017-07-05 00:00:00-04:00,0.32
AXP,2017-10-05 00:00:00-04:00,0.35
AXP,2018-01-04 00:00:00-05:00,0.35
AXP,2018-04-05 00:00:00-04:00,0.35
AXP,2018-07-05 00:00:00-04:00,0.35
AXP,2018-10-04 00:00:00-04:00,0.39
AXP,2019-01-03 00:00:00-05:00,0.39
AXP,2019-04-04 00:00:00-04:00,0.39
AXP,2019-07-03 00:00:00-04:00,0.39
AXP,2019-10-03 00:00:00-04:00,0.43
AXP,2020-01-02 00:00:00-05:00,0.43
AXP,2020-04-02 00:00:00-04:00,0.43
AXP,2020-07-01 00:00:00-04:00,0.43
AXP,2020-10-08 00:00:00-04:00,0.43
AXP,2021-01-07 00:00:00-05:00,0.43
AXP,2021-03-31 00:00:00-04:00,0.43
AXP,2021-07-01 00:00:00-04:00,0.43
AXP,2021-10-07 00:00:00-04:00,0.43
AXP,2022-01-06 00:00:00-05:00,0.43
AXP,2022-04-07 00:00:00-04:00,0.52
AXP,2022-06-30 00:00:00-04:00,0.52
AXP,2022-10-13 00:00:00-04:00,0.52
AXP,2023-01-05 00:00:00-05:00,0.52
AXP,2023-04-05 00:00:00-04:00,0.6
AXP,2023-07-06 00:00:00-04:00,0.6
AXP,2023-10-05 00:00:00-04:00,0.6
AXP,2024-01-04 00:00:00-05:00,0.6
AXP,2024-04-04 00:00:00-04:00,0.7
AXP,2024-07-05 00:00:00-04:00,0.7
AXP,2024-10-04 00:00:00-04:00,0.7
AXP,2025-01-03 00:00:00-05:00,0.7
AXP,2025-04-04 00:00:00-04:00,0.82
AXP,2025-07-03 00:00:00-04:00,0.82
AXP,2025-10-10 00:00:00-04:00,0.82
BAC,2015-03-04 00:00:00-05:00,0.05
BAC,2015-06-03 00:00:00-04:00,0.05
BAC,2015-09-02 00:00:00-04:00,0.05
BAC,2015-12-02 00:00:00-05:00,0.05
BAC,2016-03-02 00:00:00-05:00,0.05
BAC,2016-06-01 00:00:00-04:00,0.05
BAC,2016-08-31 00:00:00-04:00,0.075
BAC,2016-11-30 00:00:00-05:00,0.075
BAC,2017-03-01 00:00:00-05:00,0.075
BAC,2017-05-31 00:00:00-04:00,0.075
BAC,2017-08-30 00:00:00-04:00,0.12
BAC,2017-11-30 00:00:00-05:00,0.12
BAC,2018-03-01 00:00:00-05:00,0.12
BAC,2018-05-31 00:00:00-04:00,0.12
BAC,2018-09-06 00:00:00-04:00,0.15
BAC,2018-12-06 00:00:00-05:00,0.15
BAC,2019-02-28 00:00:00-05:00,0.15
BAC,2019-06-06 00:00:00-04:00,0.15
BAC,2019-09-05 00:00:00-04:00,0.18
BAC,2019-12-05 00:00:00-05:00,0.18
BAC,2020-03-05 00:00:00-05:00,0.18
BAC,2020-06-04 00:00:00-04:00,0.18
BAC,2020-09-03 00:00:00-04:00,0.18
BAC,2020-12-03 00:00:00-05:00,0.18
BAC,2021-03-04 00:00:00-05:00,0.18
BAC,2021-06-03 00:00:00-04:00,0.18
BAC,2021-09-02 00:00:00-04:00,0.21
BAC,2021-12-02 00:00:00-05:00,0.21
BAC,2022-03-03 00:00:00-05:00,0.21
BAC,2022-06-02 00:00:00-04:00,0.21
BAC,2022-09-01 00:00:00-04:00,0.22
BAC,2022-12-01 00:00:00-05:00,0.22
BAC,2023-03-02 00:00:00-05:00,0.22
BAC,2023-06-01 00:00:00-04:00,0.22
BAC,2023-08-31 00:00:00-04:00,0.24
BAC,2023-11-30 00:00:00-05:00,0.24
BAC,2024-02-29 00:00:00-05:00,0.24
BAC,2024-06-07 00:00:00-04:00,0.24
BAC,2024-09-06 00:00:00-04:00,0.26
BAC,2024-12-06 00:00:00-05:00,0.26
BAC,2025-03-07 00:00:00-05:00,0.26
BAC,2025-06-06 00:00:00-04:00,0.26
BAC,2025-09-05 00:00:00-04:00,0.28
KO,2015-03-12 00:00:00-04:00,0.33
KO,2015-06-11 00:00:00-04:00,0.33
KO,2015-09-11 00:00:00-04:00,0.33
KO,2015-11-27 00:00:00-05:00,0.33
KO,2016-03-11 00:00:00-05:00,0.35
KO,2016-06-13 00:00:00-04:00,0.35
KO,2016-09-13 00:00:00-04:00,0.35
KO,2016-11-29 00:00:00-05:00,0.35
KO,2017-03-13 00:00:00-04:00,0.37
KO,2017-06-13 00:00:00-04:00,0.37
KO,2017-09-14 00:00:00-04:00,0.37
KO,2017-11-30 00:00:00-05:00,0.37
KO,2018-03-14 00:00:00-04:00,0.39
KO,2018-06-14 00:00:00-04:00,0.39
KO,2018-09-13 00:00:00-04:00,0.39
KO,2018-11-29 00:00:00-05:00,0.39
KO,2019-03-14 00:00:00-04:00,0.4
KO,2019-06-13 00:00:00-04:00,0.4
KO,2019-09-13 00:00:00-04:00,0.4
KO,2019-11-29 00:00:00-05:00,0.4
KO,2020-03-13 00:00:00-04:00,0.41
KO,2020-06-12 00:00:00-04:00,0.41
KO,2020-09-14 00:00:00-04:00,0.41
KO,2020-11-30 00:00:00-05:00,0.41
KO,2021-03-12 00:00:00-05:00,0.42
KO,2021-06-14 00:00:00-04:00,0.42
KO,2021-09-14 00:00:00-04:00,0.42
KO,2021-11-30 00:00:00-05:00,0.42
KO,2022-03-14 00:00:00-04:00,0.44
KO,2022-06-14 00:00:00-04:00,0.44
KO,2022-09-15 00:00:00-04:00,0.44
KO,2022-11-30 00:00:00-05:00,0.44
KO,2023-03-16 00:00:00-04:00,0.46
KO,2023-06-15 00:00:00-04:00,0.46
KO,2023-09-14 00:00:00-04:00,0.46
KO,2023-11-30 00:00:00-05:00,0.46
KO,2024-03-14 00:00:00-04:00,0.485
KO,2024-06-14 00:00:00-04:00,0.485
KO,2024-09-13 00:00:00-04:00,0.485
KO,2024-11-29 00:00:00-05:00,0.485
KO,2025-03-14 00:00:00-04:00,0.51
KO,2025-06-13 00:00:00-04:00,0.51
KO,2025-09-15 00:00:00-04:00,0.51
KO,2025-12-01 00:00:00-05:00,0.51
CVX,2015-02-12 00:00:00-05:00,1.07
CVX,2015-05-15 00:00:00-04:00,1.07
CVX,2015-08-17 00:00:00-04:00,1.07
CVX,2015-11-16 00:00:00-05:00,1.07
CVX,2016-02-16 00:00:00-05:00,1.07
CVX,2016-05-17 00:00:00-04:00,1.07
CVX,2016-08-17 00:00:00-04:00,1.07
CVX,2016-11-16 00:00:00-05:00,1.08
CVX,2017-02-14 00:00:00-05:00,1.08
CVX,2017-05-17 00:00:00-04:00,1.08
CVX,2017-08-16 00:00:00-04:00,1.08
CVX,2017-11-16 00:00:00-05:00,1.08
CVX,2018-02-15 00:00:00-05:00,1.12
CVX,2018-05-17 00:00:00-04:00,1.12
CVX,2018-08-16 00:00:00-04:00,1.12
CVX,2018-11-15 00:00:00-05:00,1.12
CVX,2019-02-14 00:00:00-05:00,1.19
CVX,2019-05-16 00:00:00-04:00,1.19
CVX,2019-08-16 00:00:00-04:00,1.19
CVX,2019-11-15 00:00:00-05:00,1.19
CVX,2020-02-14 00:00:00-05:00,1.29
CVX,2020-05-18 00:00:00-04:00,1.29
CVX,2020-08-18 00:00:00-04:00,1.29
CVX,2020-11-17 00:00:00-05:00,1.29
CVX,2021-02-16 00:00:00-05:00,1.29
CVX,2021-05-18 00:00:00-04:00,1.34
CVX,2021-08-18 00:00:00-04:00,1.34
CVX,2021-11-17 00:00:00-05:00,1.34
CVX,2022-02-15 00:00:00-05:00,1.42
CVX,2022-05-18 00:00:00-04:00,1.42
CVX,2022-08-18 00:00:00-04:00,1.42
CVX,2022-11-17 00:00:00-05:00,1.42
CVX,2023-02-15 00:00:00-05:00,1.51
CVX,2023-05-18 00:00:00-04:00,1.51
CVX,2023-08-17 00:00:00-04:00,1.51
CVX,2023-11-16 00:00:00-05:00,1.51
CVX,2024-02-15 00:00:00-05:00,1.63
CVX,2024-05-16 00:00:00-04:00,1.63
CVX,2024-08-19 00:00:00-04:00,1.63
CVX,2024-11-18 00:00:00-05:00,1.63
CVX,2025-02-14 00:00:00-05:00,1.71
CVX,2025-05-19 00:00:00-04:00,1.71
CVX,2025-08-19 00:00:00-04:00,1.71
CVX,2025-11-18 00:00:00-05:00,1.71
OXY,2015-03-06 00:00:00-05:00,0.718776
OXY,2015-06-08 00:00:00-04:00,0.748725
OXY,2015-09-08 00:00:00-04:00,0.748725
OXY,2015-12-08 00:00:00-05:00,0.748725
OXY,2016-03-08 00:00:00-05:00,0.75
OXY,2016-06-08 00:00:00-04:00,0.75
OXY,2016-09-07 00:00:00-04:00,0.76
OXY,2016-12-07 00:00:00-05:00,0.76
OXY,2017-03-08 00:00:00-05:00,0.76
OXY,2017-06-07 00:00:00-04:00,0.76
OXY,2017-09-08 00:00:00-04:00,0.77
OXY,2017-12-08 00:00:00-05:00,0.77
OXY,2018-03-08 00:00:00-05:00,0.77
OXY,2018-06-08 00:00:00-04:00,0.77
OXY,2018-09-07 00:00:00-04:00,0.78
OXY,2018-12-07 00:00:00-05:00,0.78
OXY,2019-03-08 00:00:00-05:00,0.78
OXY,2019-06-07 00:00:00-04:00,0.78
OXY,2019-09-09 00:00:00-04:00,0.79
OXY,2019-12-09 00:00:00-05:00,0.79
OXY,2020-03-09 00:00:00-04:00,0.79
OXY,2020-06-12 00:00:00-04:00,0.01
OXY,2020-09-14 00:00:00-04:00,0.01
OXY,2020-12-09 00:00:00-05:00,0.01
OXY,2021-03-09 00:00:00-05:00,0.01
OXY,2021-06-09 00:00:00-04:00,0.01
OXY,2021-09-09 00:00:00-04:00,0.01
OXY,2021-12-09 00:00:00-05:00,0.01
OXY,2022-03-09 00:00:00-05:00,0.13
OXY,2022-06-09 00:00:00-04:00,0.13
OXY,2022-09-09 00:00:00-04:00,0.13
OXY,2022-12-09 00:00:00-05:00,0.13
OXY,2023-03-09 00:00:00-05:00,0.18
OXY,2023-06-08 00:00:00-04:00,0.18
OXY,2023-09-07 00:00:00-04:00,0.18
OXY,2023-12-07 00:00:00-05:00,0.18
OXY,2024-03-07 00:00:00-05:00,0.22
OXY,2024-06-10 00:00:00-04:00,0.22
OXY,2024-09-10 00:00:00-04:00,0.22
OXY,2024-12-10 00:00:00-05:00,0.22
OXY,2025-03-10 00:00:00-04:00,0.24
OXY,2025-06-10 00:00:00-04:00,0.24
OXY,2025-09-10 00:00:00-04:00,0.24
KHC,2015-07-23 00:00:00-04:00,0.55
KHC,2015-11-12 00:00:00-05:00,0.575
KHC,2015-12-21 00:00:00-05:00,0.575
KHC,2016-03-16 00:00:00-04:00,0.575
KHC,2016-05-25 00:00:00-04:00,0.575
KHC,2016-08-24 00:00:00-04:00,0.6
KHC,2016-11-30 00:00:00-05:00,0.6
KHC,2017-03-01 00:00:00-05:00,0.6
KHC,2017-05-17 00:00:00-04:00,0.6
KHC,2017-08-16 00:00:00-04:00,0.625
KHC,2017-11-16 00:00:00-05:00,0.625
KHC,2018-03-08 00:00:00-05:00,0.625
KHC,2018-05-17 00:00:00-04:00,0.625
KHC,2018-08-16 00:00:00-04:00,0.625
KHC,2018-11-15 00:00:00-05:00,0.625
KHC,2019-03-07 00:00:00-05:00,0.4
KHC,2019-05-30 00:00:00-04:00,0.4
KHC,2019-08-20 00:00:00-04:00,0.4
KHC,2019-11-14 00:00:00-05:00,0.4
KHC,2020-03-12 00:00:00-04:00,0.4
KHC,2020-05-28 00:00:00-04:00,0.4
KHC,2020-08-27 00:00:00-04:00,0.4
KHC,2020-11-25 00:00:00-05:00,0.4
KHC,2021-03-11 00:00:00-05:00,0.4
KHC,2021-05-27 00:00:00-04:00,0.4
KHC,2021-08-31 00:00:00-04:00,0.4
KHC,2021-11-24 00:00:00-05:00,0.4
KHC,2022-03-10 00:00:00-05:00,0.4
KHC,2022-05-26 00:00:00-04:00,0.4
KHC,2022-08-25 00:00:00-04:00,0.4
KHC,2022-11-23 00:00:00-05:00,0.4
KHC,2023-03-09 00:00:00-05:00,0.4
KHC,2023-06-05 00:00:00-04:00,0.4
KHC,2023-08-31 00:00:00-04:00,0.4
KHC,2023-11-30 00:00:00-05:00,0.4
KHC,2024-03-07 00:00:00-05:00,0.4
KHC,2024-06-06 00:00:00-04:00,0.4
KHC,2024-08-30 00:00:00-04:00,0.4
KHC,2024-11-29 00:00:00-05:00,0.4
KHC,2025-03-07 00:00:00-05:00,0.4
KHC,2025-05-30 00:00:00-04:00,0.4
KHC,2025-08-29 00:00:00-04:00,0.4
KHC,2025-11-28 00:00:00-05:00,0.4
UNH,2015-03-11 00:00:00-04:00,0.375
UNH,2015-06-11 00:00:00-04:00,0.5
UNH,2015-09-09 00:00:00-04:00,0.5
UNH,2015-12-02 00:00:00-05:00,0.5
UNH,2016-03-09 00:00:00-05:00,0.5
UNH,2016-06-15 00:00:00-04:00,0.625
UNH,2016-09-07 00:00:00-04:00,0.625
UNH,2016-11-30 00:00:00-05:00,0.625
UNH,2017-03-08 00:00:00-05:00,0.625
UNH,2017-06-15 00:00:00-04:00,0.75
UNH,2017-09-07 00:00:00-04:00,0.75
UNH,2017-11-30 00:00:00-05:00,0.75
UNH,2018-03-08 00:00:00-05:00,0.75
UNH,2018-06-15 00:00:00-04:00,0.9
UNH,2018-09-06 00:00:00-04:00,0.9
UNH,2018-11-30 00:00:00-05:00,0.9
UNH,2019-03-08 00:00:00-05:00,0.9
UNH,2019-06-14 00:00:00-04:00,1.08
UNH,2019-09-13 00:00:00-04:00,1.08
UNH,2019-12-06 00:00:00-05:00,1.08
UNH,2020-03-13 00:00:00-04:00,1.08
UNH,2020-06-19 00:00:00-04:00,1.25
UNH,2020-09-11 00:00:00-04:00,1.25
UNH,2020-12-04 00:00:00-05:00,1.25
UNH,2021-03-12 00:00:00-05:00,1.25
UNH,2021-06-18 00:00:00-04:00,1.45
UNH,2021-09-10 00:00:00-04:00,1.45
UNH,2021-12-03 00:00:00-05:00,1.45
UNH,2022-03-11 00:00:00-05:00,1.45
UNH,2022-06-16 00:00:00-04:00,1.65
UNH,2022-09-09 00:00:00-04:00,1.65
UNH,2022-12-02 00:00:00-05:00,1.65
UNH,2023-03-10 00:00:00-05:00,1.65
UNH,2023-06-15 00:00:00-04:00,1.88
UNH,2023-09-08 00:00:00-04:00,1.88
UNH,2023-12-01 00:00:00-05:00,1.88
UNH,2024-03-08 00:00:00-05:00,1.88
UNH,2024-06-17 00:00:00-04:00,2.1
UNH,2024-09-16 00:00:00-04:00,2.1
UNH,2024-12-09 00:00:00-05:00,2.1
UNH,2025-03-10 00:00:00-04:00,2.1
UNH,2025-06-16 00:00:00-04:00,2.21
UNH,2025-09-15 00:00:00-04:00,2.21
